date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-10-29,9.95,10.06,10.02,9.82,67331.67,0.2,2.04,10.224,10.413,10.398,79995.61,99875.93,138269.67,0.59
2021-10-28,10.15,10.21,9.82,9.79,101171.21,-0.39,-3.82,10.3,10.432,10.538,86093.28,105810.45,150818.5,0.89
2021-10-27,10.44,10.53,10.21,10.13,86032.05,-0.32,-3.04,10.478,10.478,10.76,89512.37,109644.03,157828.62,0.76
2021-10-26,10.61,10.72,10.53,10.38,80120.28,-0.01,-0.1,10.54,10.447,10.99,91557.79,112218.22,163373.13,0.7
2021-10-25,10.48,10.56,10.54,10.25,65322.85,0.14,1.35,10.584,10.396,11.235,102752.57,119201.89,171826.92,0.57
2021-10-22,10.6,10.72,10.4,10.37,97820.0,-0.31,-2.89,10.602,10.369,11.495,119756.25,125963.77,187395.75,0.86
2021-10-21,10.63,10.93,10.71,10.54,118266.67,0.19,1.81,10.564,10.35,11.796,125527.62,133684.85,198926.73,1.04
2021-10-20,10.41,10.71,10.52,10.37,96259.14,-0.23,-2.14,10.478,10.326,12.047,129775.69,140604.05,206828.38,0.85
2021-10-19,10.54,10.97,10.75,10.49,136094.2,0.12,1.13,10.354,10.279,12.311,132878.66,155411.57,221932.04,1.2
2021-10-18,10.43,10.72,10.63,10.24,150341.22,0.42,4.11,10.208,10.29,12.491,135651.2,172052.44,226935.63,1.32
2021-10-15,10.15,10.54,10.21,10.1,126676.88,-0.07,-0.68,10.136,10.382,12.701,132171.29,176663.42,228591.5,1.11
2021-10-14,10.05,10.39,10.28,9.9,139507.0,0.38,3.84,10.136,10.644,12.939,141842.09,195826.55,237675.56,1.23
2021-10-13,10.02,10.07,9.9,9.63,111773.98,-0.12,-1.2,10.174,11.042,13.178,151432.41,206013.2,251273.69,0.98
2021-10-12,10.3,10.31,10.02,9.83,149956.91,-0.25,-2.43,10.204,11.532,13.368,177944.49,214528.04,263483.61,1.32
2021-10-11,10.25,10.37,10.27,10.01,132941.7,0.06,0.59,10.372,12.074,13.497,208453.68,224451.95,277408.42,1.17
2021-10-08,10.61,10.69,10.21,10.19,175030.84,-0.26,-2.48,10.628,12.62,13.584,221155.54,248827.73,284017.47,1.54
2021-09-30,10.4,10.56,10.47,10.14,187458.64,0.42,4.18,11.152,13.242,13.678,249811.01,264168.6,292532.1,1.65
2021-09-29,10.75,10.86,10.05,10.0,244334.36,-0.81,-7.46,11.91,13.767,13.78,260593.99,273052.71,294843.33,2.15
2021-09-28,11.01,11.2,10.86,10.75,302502.88,-0.69,-5.97,12.86,14.342,13.895,251111.58,288452.5,298392.22,2.66
2021-09-27,12.82,12.83,11.55,11.55,196451.0,-1.28,-9.98,13.776,14.692,13.949,240450.22,281818.82,297709.87,1.73
2021-09-24,14.27,14.35,12.83,12.83,318308.16,-1.43,-10.03,14.612,15.019,13.967,276499.92,280519.59,309508.56,2.8
2021-09-23,15.04,15.37,14.26,14.0,241373.56,-0.54,-3.65,15.332,15.233,13.915,278526.19,279524.58,313685.55,2.12
2021-09-22,15.1,15.57,14.8,14.66,196922.31,-0.64,-4.14,15.624,15.314,13.802,285511.44,296534.17,320125.68,1.73
2021-09-17,16.02,16.13,15.44,14.73,249196.06,-0.29,-1.84,15.824,15.204,13.607,325793.42,312439.18,322790.36,2.19
2021-09-16,16.3,17.53,15.73,15.58,376699.53,-0.7,-4.26,15.608,14.92,13.396,323187.43,330364.89,325326.06,3.31
2021-09-15,15.38,16.72,16.43,14.92,328439.47,0.71,4.52,15.426,14.547,13.168,284539.25,319207.2,315383.16,2.89
2021-09-14,15.58,16.0,15.72,15.2,276299.81,-0.08,-0.51,15.134,14.114,12.895,280522.98,320895.59,308584.19,2.43
2021-09-13,14.42,15.8,15.8,13.82,398332.25,1.44,10.03,15.004,13.792,12.656,307556.9,316633.95,309152.99,3.5
2021-09-10,14.81,14.82,14.36,14.0,236166.08,-0.46,-3.1,14.584,13.447,12.39,299084.94,308331.93,297466.76,2.08
2021-09-09,14.97,14.97,14.82,14.45,183458.66,-0.15,-1.0,14.232,13.205,12.214,337542.36,313600.91,294593.96,1.61
2021-09-08,14.8,15.23,14.97,14.33,308358.09,-0.1,-0.66,13.668,12.915,12.01,353875.14,338497.53,298027.89,2.71
2021-09-07,13.64,15.07,15.07,13.48,411469.44,1.37,10.0,13.094,12.596,11.769,361268.21,347846.53,289415.56,3.62
2021-09-06,12.67,13.7,13.7,12.65,355972.41,1.1,8.73,12.58,12.289,11.512,325711.0,343717.18,276496.35,3.13
2021-09-03,11.94,13.2,12.6,11.76,428453.19,0.6,5.0,12.31,12.01,11.319,317578.92,333141.54,267374.61,3.77
2021-09-02,11.8,12.25,12.0,11.53,265122.56,-0.1,-0.83,12.178,11.872,11.171,289659.46,320287.23,254440.12,2.33
2021-09-01,12.82,13.25,12.1,12.0,345323.44,-0.4,-3.2,12.162,11.788,11.024,323119.91,311559.11,244935.53,3.04
2021-08-31,12.3,12.55,12.5,11.91,233683.41,0.15,1.22,12.098,11.675,10.88,334424.84,296272.79,231571.85,2.05
2021-08-30,12.4,12.6,12.35,11.96,315312.0,0.41,3.43,11.998,11.52,10.711,361723.36,301672.02,226722.55,2.77
2021-08-27,11.95,12.39,11.94,11.43,288855.88,0.02,0.17,11.71,11.332,10.57,348704.16,286601.59,217544.1,2.54
2021-08-26,11.78,12.8,11.92,11.72,432424.84,0.14,1.19,11.566,11.223,10.452,350914.99,275587.01,209442.23,3.8
2021-08-25,11.79,12.25,11.78,11.64,401848.09,-0.22,-1.83,11.414,11.105,10.329,299998.31,257558.26,194359.5,3.53
2021-08-24,10.95,12.0,12.0,10.95,370176.0,1.09,9.99,11.252,10.941,10.199,258120.74,230984.59,183703.6,3.25
2021-08-23,11.25,11.42,10.91,10.91,250216.0,-0.31,-2.76,11.042,10.734,10.095,241620.68,209275.52,177346.75,2.2
2021-08-20,11.29,11.93,11.22,11.05,299910.03,0.06,0.54,10.954,10.628,10.064,224499.02,201607.67,181040.2,2.64
2021-08-19,10.95,11.4,11.16,10.91,177841.45,0.19,1.73,10.88,10.469,10.008,200259.02,188593.02,183097.5,1.56
2021-08-18,10.95,11.27,10.97,10.63,192460.2,0.02,0.18,10.796,10.26,9.922,215118.2,178311.94,180074.11,1.69
2021-08-17,10.47,11.29,10.95,10.46,287675.72,0.48,4.58,10.63,10.085,9.845,203848.44,166870.91,174584.86,2.53
2021-08-16,10.84,10.96,10.47,10.45,164607.72,-0.38,-3.5,10.426,9.901,9.766,176930.35,151773.08,164732.07,1.45
2021-08-13,10.88,10.95,10.85,10.53,178710.0,0.11,1.02,10.302,9.807,9.713,178716.32,148486.61,163135.49,1.57
2021-08-12,10.06,10.99,10.74,10.05,252137.36,0.6,5.92,10.058,9.681,9.633,176927.02,143297.45,160393.1,2.22
2021-08-11,9.93,10.19,10.14,9.82,136111.41,0.21,2.12,9.724,9.552,9.551,141505.67,131160.74,151221.55,1.2
2021-08-10,9.83,10.14,9.93,9.75,153085.27,0.08,0.81,9.54,9.456,9.495,129893.37,136422.61,148557.26,1.35
2021-08-09,9.71,9.96,9.85,9.47,173537.56,0.22,2.29,9.376,9.455,9.451,126615.8,145417.99,143981.91,1.53
2021-08-06,9.09,9.68,9.63,9.03,169763.48,0.56,6.17,9.312,9.5,9.406,118256.9,160472.73,140283.78,1.49
2021-08-05,9.17,9.19,9.07,8.96,75030.65,-0.15,-1.63,9.304,9.546,9.377,109667.88,177601.99,136367.22,0.66
2021-08-04,9.13,9.26,9.22,9.04,78049.91,0.11,1.21,9.38,9.583,9.361,120815.8,181836.27,135243.65,0.69
2021-08-03,9.47,9.52,9.11,9.03,136697.42,-0.42,-4.41,9.372,9.604,9.341,142951.85,182298.82,133416.61,1.2
2021-08-02,9.36,9.64,9.53,9.3,131743.02,-0.06,-0.63,9.534,9.63,9.323,164220.17,177691.06,128768.61,1.16
2021-07-30,9.59,9.68,9.59,9.32,126818.4,0.14,1.48,9.688,9.618,9.281,202688.56,177784.38,124525.92,1.12
2021-07-29,9.33,9.6,9.45,9.3,130770.23,0.27,2.94,9.788,9.584,9.227,245536.1,177488.75,120580.03,1.15
2021-07-28,9.77,9.8,9.18,8.93,188730.16,-0.74,-7.46,9.786,9.549,9.185,242856.75,171282.37,116725.85,1.66
2021-07-27,10.3,10.5,9.92,9.86,243039.05,-0.38,-3.69,9.836,9.534,9.162,221645.79,160691.92,109096.18,2.14
2021-07-26,9.89,10.34,10.3,9.76,324084.97,0.21,2.08,9.726,9.446,9.106,191161.95,142545.84,98718.13,2.85
2021-07-23,9.37,10.38,10.09,9.35,341056.09,0.65,6.89,9.548,9.311,9.033,152880.19,120094.83,84878.18,3.0
2021-07-22,9.58,9.58,9.44,9.35,117373.49,0.01,0.11,9.38,9.207,8.975,109441.39,95132.46,69724.95,1.03
2021-07-21,9.36,9.43,9.43,9.27,82675.37,0.06,0.64,9.312,9.138,8.947,99707.98,88651.04,66736.03,0.73
2021-07-20,9.32,9.5,9.37,9.2,90619.84,-0.04,-0.42,9.232,9.077,8.928,99738.04,84534.4,64268.38,0.8
2021-07-19,9.23,9.57,9.41,9.09,132676.17,0.16,1.73,9.166,9.015,8.912,93929.72,79846.16,61976.03,1.17
2021-07-16,9.05,9.32,9.25,9.01,123862.08,0.15,1.65,9.074,8.943,8.892,87309.46,71267.46,58599.39,1.09
2021-07-15,9.04,9.1,9.1,8.82,68706.45,0.07,0.78,9.034,8.869,8.884,80823.53,63671.32,54868.66,0.6
2021-07-14,9.28,9.29,9.03,9.03,82825.64,-0.01,-0.11,8.964,8.82,8.883,77594.09,62169.34,53497.72,0.73
2021-07-13,8.95,9.08,9.04,8.85,61578.26,0.09,1.01,8.922,8.79,8.877,69330.76,57500.45,51929.6,0.54
2021-07-12,9.1,9.22,8.95,8.94,99574.89,-0.1,-1.1,8.864,8.765,8.868,65762.6,54890.42,52720.16,0.88
2021-07-09,8.72,9.09,9.05,8.68,91432.39,0.3,3.43,8.812,8.754,8.873,55225.46,49661.53,50822.49,0.8
2021-07-08,8.81,8.9,8.75,8.74,52559.26,-0.07,-0.79,8.704,8.742,8.878,46519.11,44317.45,48808.43,0.46
2021-07-07,8.72,8.84,8.82,8.66,41509.02,0.07,0.8,8.676,8.755,8.901,46744.59,44821.02,49324.72,0.36
2021-07-06,8.74,8.84,8.75,8.65,43737.44,0.06,0.69,8.658,8.778,8.916,45670.13,44002.37,49791.91,0.38
2021-07-05,8.46,8.71,8.69,8.44,46889.17,0.18,2.12,8.666,8.809,8.933,44018.25,44105.9,50283.42,0.41
2021-07-02,8.61,8.72,8.51,8.46,47900.67,-0.1,-1.16,8.696,8.84,8.955,44097.61,45931.33,52061.02,0.42
2021-07-01,8.74,8.83,8.61,8.61,53686.64,-0.12,-1.38,8.78,8.898,8.988,42115.78,46066.0,53058.73,0.47
2021-06-30,8.78,8.79,8.73,8.65,36136.75,-0.05,-0.57,8.834,8.946,9.02,42897.45,44826.1,55473.32,0.32
2021-06-29,8.84,8.84,8.79,8.75,35478.0,-0.05,-0.57,8.898,8.963,9.059,42334.6,46358.76,59077.31,0.31
2021-06-28,8.9,8.93,8.84,8.81,47285.98,-0.09,-1.01,8.952,8.97,9.089,44193.55,50549.9,62096.39,0.42
2021-06-25,8.9,8.96,8.93,8.85,37991.54,0.05,0.56,8.984,8.992,9.112,47765.05,51983.45,65509.54,0.33
2021-06-24,9.05,9.09,8.88,8.87,57594.96,-0.17,-1.88,9.016,9.014,9.133,50016.21,53299.42,67877.28,0.51
2021-06-23,9.06,9.09,9.05,8.98,33322.5,-0.01,-0.11,9.058,9.047,9.156,46754.75,53828.42,70926.55,0.29
2021-06-22,9.04,9.1,9.06,8.95,44772.76,0.06,0.67,9.028,9.053,9.166,50382.92,55581.45,73750.37,0.39
2021-06-21,9.09,9.14,9.0,8.91,65143.49,-0.09,-0.99,8.988,9.056,9.177,56906.25,56460.95,77143.93,0.57
2021-06-18,9.02,9.1,9.09,8.89,49247.36,0.0,0.0,9.0,9.07,9.19,56201.84,58190.7,78386.48,0.43
2021-06-17,8.87,9.11,9.09,8.84,41287.62,0.19,2.13,9.012,9.078,9.195,56582.62,60051.47,83651.82,0.36
2021-06-16,8.86,8.98,8.9,8.81,51463.37,0.04,0.45,9.036,9.094,9.226,60902.1,66120.54,86885.44,0.45
2021-06-15,9.07,9.08,8.86,8.81,77389.42,-0.2,-2.21,9.078,9.155,9.277,60779.97,71795.86,91499.88,0.68
2021-06-11,9.17,9.19,9.06,9.05,61621.44,-0.09,-0.98,9.124,9.207,9.316,56015.64,73642.89,96560.68,0.54
2021-06-10,9.19,9.21,9.15,9.1,51151.23,-0.06,-0.65,9.14,9.231,9.366,60179.57,79035.64,99954.34,0.45
2021-06-09,9.11,9.23,9.21,9.11,62885.02,0.1,1.1,9.144,9.251,9.406,63520.32,82455.15,108325.95,0.55
2021-06-08,9.09,9.15,9.11,9.04,50852.75,0.02,0.22,9.152,9.265,9.478,71338.99,88024.68,118812.7,0.45
2021-06-07,9.1,9.18,9.09,9.06,53567.75,-0.05,-0.55,9.232,9.278,9.542,82811.74,91919.3,136691.11,0.47
2021-06-04,9.0,9.17,9.14,8.91,82441.08,-0.03,-0.33,9.29,9.297,9.62,91270.13,97826.91,148819.34,0.72
2021-06-03,9.21,9.34,9.17,9.17,67855.0,-0.08,-0.86,9.322,9.31,9.648,97891.72,98582.26,157526.39,0.6
2021-06-02,9.5,9.5,9.25,9.23,101978.36,-0.26,-2.73,9.358,9.312,9.65,101389.97,107252.18,159605.94,0.9
2021-06-01,9.38,9.53,9.51,9.26,108216.52,0.13,1.39,9.378,9.357,9.642,104710.37,107650.35,158740.97,0.95
2021-05-31,9.3,9.52,9.38,9.3,95859.7,0.08,0.86,9.324,9.399,9.614,101026.86,111203.91,156542.87,0.84
2021-05-28,9.5,9.59,9.3,9.25,115549.0,-0.05,-0.54,9.304,9.424,9.591,104383.69,119478.47,155205.16,1.02
2021-05-27,9.28,9.43,9.35,9.21,85346.28,0.0,0.0,9.298,9.501,9.571,99272.8,120873.04,152869.57,0.75
2021-05-26,9.28,9.5,9.35,9.19,118580.37,0.11,1.19,9.266,9.561,9.555,113114.38,134196.75,151999.65,1.04
2021-05-25,9.26,9.35,9.24,9.15,89798.93,-0.04,-0.43,9.336,9.691,9.565,110590.32,149600.71,153758.56,0.79
2021-05-24,9.29,9.56,9.28,9.24,112643.89,0.01,0.11,9.474,9.805,9.583,121380.96,181462.93,157311.88,0.99
2021-05-21,9.18,9.42,9.27,9.15,89994.51,0.08,0.87,9.544,9.943,9.601,134573.24,199811.76,159939.4,0.79
2021-05-20,9.48,9.48,9.19,9.18,154554.2,-0.51,-5.26,9.704,9.985,9.622,142473.28,216470.53,164310.96,1.36
2021-05-19,9.77,9.85,9.7,9.65,105960.06,-0.23,-2.32,9.856,9.987,9.651,155279.13,211959.7,164961.41,0.93
2021-05-18,9.89,10.06,9.93,9.72,143752.16,0.3,3.12,10.046,9.927,9.647,188611.1,209831.6,169175.79,1.26
2021-05-17,9.85,10.06,9.63,9.6,178605.28,-0.44,-4.37,10.136,9.828,9.625,241544.9,201881.83,171131.46,1.57
2021-05-14,9.95,10.11,10.07,9.83,129494.7,0.12,1.21,10.342,9.758,9.625,265050.28,190931.85,170508.64,1.14
2021-05-13,10.28,10.29,9.95,9.95,218583.44,-0.7,-6.57,10.266,9.64,9.585,290467.78,184866.1,174237.18,1.92
2021-05-12,10.42,10.68,10.65,10.21,272619.94,0.27,2.6,10.118,9.548,9.548,268640.28,169802.55,169802.55,2.4
2021-05-11,11.0,11.18,10.38,10.04,408421.12,-0.28,-2.63,9.808,9.426,9.426,231052.1,158378.4,158378.4,3.59
2021-05-10,9.85,10.66,10.66,9.7,296132.22,0.97,10.01,9.52,9.306,9.306,162218.76,127123.06,127123.06,2.6
2021-05-07,9.34,10.05,9.69,9.31,256582.2,0.48,5.21,9.174,9.113,9.113,116813.42,102978.89,102978.89,2.26
2021-05-06,9.16,9.27,9.21,9.03,109445.91,0.11,1.21,9.014,9.017,9.017,79264.42,77378.34,77378.34,0.96
2021-04-30,8.88,9.15,9.1,8.72,84679.05,0.16,1.79,8.978,8.978,8.978,70964.83,70964.83,70964.83,0.74
2021-04-29,8.94,9.03,8.94,8.83,64254.4,0.01,0.11,8.948,8.948,8.948,67536.27,67536.27,67536.27,0.56
2021-04-28,8.91,8.95,8.93,8.73,69105.56,0.04,0.45,8.95,8.95,8.95,68630.23,68630.23,68630.23,0.61
2021-04-27,9.01,9.12,8.89,8.78,68837.19,-0.14,-1.55,8.96,8.96,8.96,68392.56,68392.56,68392.56,0.61
2021-04-26,9.11,9.23,9.03,9.01,67947.93,-0.08,-0.88,9.03,9.03,9.03,67947.93,67947.93,67947.93,0.6
