nodes,lables
0,1
1,1
2,21
3,21
4,21
5,25
6,25
7,14
8,14
9,14
10,9
11,14
12,14
13,26
14,4
15,17
16,34
17,1
18,1
19,14
20,9
21,9
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,5
42,34
43,14
44,14
45,17
46,17
47,10
48,10
49,36
50,37
51,5
52,7
53,4
54,22
55,22
56,21
57,21
58,21
59,21
60,7
61,7
62,36
63,21
64,22
65,4
66,8
67,9
68,15
69,15
70,37
71,37
72,9
73,1
74,1
75,10
76,10
77,3
78,3
79,3
80,9
81,15
82,36
83,36
84,37
85,1
86,36
87,34
88,20
89,20
90,8
91,8
92,9
93,4
94,5
95,5
96,10
97,17
98,16
99,16
100,36
101,36
102,38
103,7
104,7
105,36
106,9
107,36
108,8
109,27
110,8
111,8
112,8
113,10
114,10
115,13
116,13
117,6
118,26
119,10
120,1
121,36
122,0
123,13
124,16
125,16
126,22
127,9
128,5
129,4
130,0
131,28
132,28
133,14
134,2
135,13
136,13
137,21
138,21
139,17
140,17
141,14
142,36
143,8
144,40
145,35
146,15
147,23
148,0
149,0
150,7
151,11
152,37
153,27
154,35
155,23
156,0
157,0
158,19
159,19
160,36
161,14
162,37
163,24
164,17
165,13
166,36
167,5
168,4
169,13
170,13
171,10
172,4
173,36
174,21
175,32
176,4
177,1
178,0
179,0
180,0
181,7
182,7
183,4
184,15
185,36
186,40
187,9
188,15
189,15
190,9
191,0
192,21
193,21
194,21
195,21
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,21
209,19
210,19
211,22
212,36
213,14
214,0
215,1
216,17
217,37
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,23
226,1
227,23
228,1
229,10
230,36
231,0
232,4
233,19
234,19
235,19
236,19
237,19
238,19
239,19
240,19
241,19
242,19
243,19
244,19
245,10
246,14
247,14
248,23
249,36
250,7
251,13
252,20
253,9
254,36
255,36
256,36
257,4
258,8
259,9
260,9
261,11
262,0
263,10
264,14
265,14
266,14
267,14
268,23
269,17
270,4
271,28
272,17
273,17
274,17
275,4
276,4
277,0
278,0
279,14
280,4
281,21
282,36
283,36
284,0
285,21
286,21
287,15
288,37
289,2
290,4
291,4
292,4
293,14
294,4
295,7
296,7
297,1
298,15
299,15
300,38
301,23
302,20
303,38
304,20
305,21
306,9
307,1
308,1
309,1
310,1
311,23
312,1
313,1
314,1
315,1
316,23
317,1
318,10
319,19
320,7
321,7
322,17
323,16
324,14
325,9
326,9
327,9
328,8
329,8
330,1
331,23
332,14
333,10
334,17
335,17
336,13
337,13
338,13
339,13
340,2
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,36
354,16
355,38
356,8
357,8
358,14
359,14
360,14
361,10
362,14
363,36
364,36
365,36
366,36
367,11
368,7
369,22
370,10
371,36
372,37
373,36
374,14
375,8
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,7
399,4
400,9
401,4
402,0
403,4
404,16
405,36
406,14
407,14
408,21
409,11
410,8
411,22
412,21
413,4
414,10
415,36
416,9
417,10
418,15
419,36
420,22
421,14
422,35
423,10
424,34
425,4
426,4
427,12
428,17
429,17
430,14
431,37
432,37
433,37
434,34
435,6
436,13
437,13
438,11
439,13
440,4
441,14
442,10
443,10
444,10
445,3
446,17
447,17
448,17
449,0
450,4
451,14
452,14
453,6
454,37
455,10
456,9
457,4
458,4
459,1
460,34
461,17
462,38
463,36
464,13
465,23
466,14
467,9
468,0
469,8
470,12
471,31
472,0
473,15
474,8
475,8
476,8
477,8
478,8
479,1
480,9
481,22
482,2
483,0
484,4
485,10
486,4
487,14
488,14
489,22
490,38
491,6
492,40
493,4
494,36
495,23
496,14
497,3
498,14
499,14
500,14
501,14
502,14
503,14
504,14
505,14
506,14
507,1
508,15
509,15
510,14
511,23
512,36
513,35
514,8
515,4
516,22
517,22
518,38
519,23
520,21
521,2
522,4
523,4
524,9
525,14
526,4
527,10
528,22
529,14
530,14
531,3
532,21
533,35
534,4
535,2
536,15
537,23
538,9
539,3
540,15
541,14
542,4
543,4
544,4
545,11
546,35
547,10
548,6
549,15
550,15
551,15
552,22
553,2
554,2
555,14
556,4
557,5
558,14
559,27
560,23
561,36
562,4
563,4
564,21
565,14
566,14
567,4
568,4
569,14
570,14
571,21
572,4
573,14
574,4
575,0
576,4
577,27
578,36
579,17
580,16
581,5
582,15
583,2
584,4
585,4
586,22
587,21
588,11
589,9
590,11
591,23
592,17
593,5
594,37
595,15
596,36
597,23
598,2
599,19
600,4
601,37
602,14
603,0
604,22
605,0
606,21
607,9
608,14
609,11
610,22
611,4
612,35
613,6
614,23
615,35
616,23
617,17
618,16
619,6
620,4
621,0
622,21
623,4
624,23
625,21
626,36
627,15
628,7
629,1
630,20
631,19
632,7
633,21
634,21
635,21
636,21
637,19
638,38
639,19
640,17
641,23
642,38
643,35
644,25
645,0
646,22
647,21
648,21
649,14
650,36
651,38
652,8
653,7
654,37
655,11
656,0
657,17
658,14
659,6
660,17
661,14
662,36
663,15
664,4
665,21
666,14
667,15
668,0
669,22
670,21
671,15
672,14
673,23
674,14
675,1
676,17
677,26
678,15
679,15
680,0
681,0
682,0
683,22
684,34
685,21
686,23
687,22
688,4
689,4
690,23
691,21
692,0
693,36
694,4
695,23
696,1
697,0
698,22
699,14
700,14
701,36
702,22
703,9
704,22
705,4
706,4
707,14
708,36
709,35
710,15
711,21
712,0
713,15
714,4
715,37
716,29
717,23
718,21
719,7
720,14
721,11
722,11
723,9
724,13
725,10
726,22
727,37
728,9
729,14
730,23
731,1
732,4
733,9
734,0
735,17
736,27
737,28
738,22
739,14
740,21
741,7
742,23
743,1
744,4
745,23
746,15
747,15
748,38
749,5
750,22
751,5
752,37
753,10
754,14
755,22
756,23
757,11
758,1
759,31
760,17
761,35
762,22
763,22
764,1
765,14
766,2
767,21
768,36
769,22
770,36
771,35
772,7
773,36
774,21
775,1
776,5
777,2
778,15
779,15
780,15
781,0
782,14
783,14
784,22
785,35
786,23
787,36
788,24
789,4
790,4
791,4
792,36
793,0
794,17
795,10
796,36
797,0
798,1
799,15
800,9
801,5
802,8
803,21
804,14
805,14
806,22
807,22
808,20
809,22
810,23
811,3
812,21
813,4
814,0
815,21
816,13
817,4
818,9
819,17
820,5
821,35
822,4
823,14
824,0
825,9
826,21
827,14
828,38
829,4
830,14
831,8
832,21
833,14
834,22
835,4
836,4
837,22
838,17
839,0
840,4
841,7
842,16
843,4
844,13
845,21
846,0
847,10
848,36
849,27
850,5
851,0
852,0
853,7
854,21
855,15
856,14
857,0
858,9
859,32
860,13
861,5
862,2
863,21
864,28
865,27
866,22
867,2
868,7
869,7
870,4
871,0
872,1
873,4
874,4
875,31
876,30
877,21
878,11
879,19
880,21
881,9
882,21
883,13
884,27
885,9
886,27
887,9
888,32
889,8
890,36
891,36
892,38
893,14
894,9
895,10
896,38
897,10
898,22
899,21
900,13
901,21
902,4
903,0
904,1
905,1
906,23
907,0
908,5
909,35
910,4
911,15
912,14
913,14
914,13
915,11
916,1
917,5
918,5
919,10
920,23
921,27
922,14
923,9
924,20
925,10
926,19
927,19
928,21
929,17
930,19
931,19
932,36
933,17
934,35
935,16
936,4
937,16
938,4
939,6
940,5
941,15
942,5
943,7
944,23
945,9
946,23
947,7
948,6
949,22
950,36
951,14
952,15
953,11
954,35
955,5
956,14
957,14
958,15
959,4
960,6
961,4
962,15
963,19
964,11
965,4
966,15
967,14
968,15
969,15
970,5
971,32
972,15
973,14
974,5
975,9
976,10
977,19
978,13
979,23
980,23
981,10
982,21
983,10
984,35
985,7
986,22
987,22
988,22
989,8
990,27
991,27
992,4
993,21
994,21
995,6
996,14
997,11
998,14
999,15
1000,4
1001,21
1002,1
1003,6
1004,22
